========================================================ARTISTAS========================================================

Artista                        | Popularidad  | # Canciones  | Canciones
[X] Los Coquillos                  | 0            | 1            | 1fz6Ir8cLZLG9GIDj64PPn
[X] Sasha                          | 0            | 1            | 3MhdH8PxqH1FuQp3HBptUI
[X] Jeremy Harding                 | 0            | 1            | 3MhdH8PxqH1FuQp3HBptUI
[X] Murray Elias                   | 0            | 1            | 3MhdH8PxqH1FuQp3HBptUI
[X] Eddy Herrera                   | 0            | 1            | 0FcgB8l69nXBOmvhvEXm8o
[X] Fruko Y Sus Tesos              | 0            | 1            | 1Fp4njyRHJYyMTKP899c0q
[X] Wilson "Saoko" Manyoma         | 0            | 1            | 1Fp4njyRHJYyMTKP899c0q
[X] The Latin Brothers             | 0            | 1            | 23jhtHHCIv6TrxLTCjqt2h
[X] Los Del Rio                    | 0            | 1            | 6mhw2fEPH4fMF0wolNm96e
[X] Grupo Arenas                   | 0            | 1            | 6yCM4N4v44c3xoMORrhLwW
[X] Azul Azul                      | 0            | 1            | 0Tl84qfow6Dv0PM60zoBhb
[X] Gaby                           | 0            | 1            | 5EovvTdzWLCqcoNZARVXJI
[X] Angel Y Khriz                  | 0            | 2            | 74ZJp3SBtrpWY38FTSCMte, 5oQDYIpN3ieXNHwXAr8TXf
[X] Zion & Lennox                  | 0            | 1            | 5gflgO9EPbIBf16n5TKnQS
[X] Gocho "El Lápiz De Platino"    | 0            | 1            | 5oQDYIpN3ieXNHwXAr8TXf
[X] John Eric                      | 0            | 1            | 5oQDYIpN3ieXNHwXAr8TXf
[X] Rayo & Toby                    | 0            | 1            | 468L8HV8IykzwRs4eEXn4Y
[X] Pitbull                        | 0            | 1            | 13plQdOoWSSXPRUSZc5FuM
[X] Lele Pons                      | 0            | 1            | 11EnQRgRMJwMAesfkB5pnu
[X] Guaynaa                        | 0            | 1            | 11EnQRgRMJwMAesfkB5pnu
[X] Joaquin Guiller                | 0            | 2            | 7HD4v4EnxsJh4frQP03PBE, 3GUqkrdLefqJmxVvN5Vgpv
[X] Pipe Bueno                     | 0            | 2            | 7HD4v4EnxsJh4frQP03PBE, 6i4OlSxwAfC1IyZkK5Bq8j
[X] Paola Jara                     | 0            | 1            | 7HD4v4EnxsJh4frQP03PBE
[X] Jhonny Rivera                  | 0            | 1            | 7HD4v4EnxsJh4frQP03PBE
[X] Marbelle                       | 0            | 1            | 0V0350NvG0jvbiUTXPzIXU
[X] Vicente Fernández              | 0            | 1            | 3KapNGuqWYFl9gBfJz9tOT
[X] Judy Santos                    | 0            | 1            | 65H6t1WQBim6q93yM8fEwn
[X] Juancho Rois                   | 0            | 1            | 61xyQGDYH9yMn4H9MpTh3g
[X] Plan B                         | 0            | 1            | 0xJFWROBNTBL4sKEuA5pm6
[X] LiL CaKe                       | 0            | 1            | 1DxEbt6OSbrkRthk6pjZue
[X] Migrantes                      | 0            | 1            | 1DxEbt6OSbrkRthk6pjZue
[X] Nico Valdi                     | 0            | 1            | 1DxEbt6OSbrkRthk6pjZue
[X] Jósean Log                     | 0            | 1            | 6aommJFM8i3iT4inKuDSXh
[X] Elder Dayán Díaz               | 0            | 1            | 4HQa0epS8B23YEHqyA2fKr
[X] Elvis Crespo                   | 0            | 1            | 16LDbpqgCtvEZDQ5wfOWrj
[X] Barbero 507                    | 0            | 1            | 7c7ajSiiY93LrpBoEBCFgB
[X] Vico C                         | 0            | 1            | 5JFLXnWbJ0gsLFalPc5vpH
